cluster,day0_usage,day0_found,day15_usage,day15_found,vdjdb_yfv,vdjdb_yfv_day0,vdjdb_yfv_day15,delta,cluster_size,yfv_15_frac_in_cluster
246,0.00030086240876537874,37,0.00019604335032375703,21,0,0,0,0.651720429565888,52,0.0
247,0.0007235931350053412,88,0.0008279500717556728,90,0,0,0,1.1442005343184047,165,0.0
248,8.188027580323598e-05,4,6.09066719452449e-05,3,0,0,0,0.7441628043758887,5,0.0
249,0.0002170779405016024,14,0.0002436266877809796,19,4,1,4,1.1222442169681655,30,0.13333333333333333
250,7.616769842161487e-05,2,3.6163336467489164e-05,3,0,0,0,0.4754743779866294,4,0.0
251,0.0009082998036777574,136,0.0010525434245537634,182,38,17,26,1.1587886966641998,289,0.08996539792387544
252,7.997608334269561e-05,3,7.613333993155613e-05,5,0,0,0,0.9520113465753066,5,0.0
253,7.807189088215524e-05,3,5.139000445380039e-05,2,0,0,0,0.6586767170749648,4,0.0
254,0.0002170779405016024,34,0.0002379166872861129,29,0,0,0,1.0959524099748832,61,0.0
255,0.0019746475815803654,320,0.0018138768238693248,262,6,5,5,0.9185866795277311,509,0.009823182711198428
256,0.0014319527303263595,201,0.0016654168110027904,238,27,11,22,1.1630275727509176,395,0.05569620253164557
257,8.378446826377636e-05,5,0.00011229667639904528,7,1,0,1,1.3398985381371402,11,0.09090909090909091
258,9.711381548755897e-05,7,8.565000742300064e-05,3,0,0,0,0.8820763488495582,7,0.0
259,7.045512103999376e-05,2,5.139000445380039e-05,2,0,0,0,0.7297840850505178,3,0.0
260,0.00011044316271134157,4,8.374667392471174e-05,5,1,0,1,0.7584971505081535,7,0.14285714285714285
261,9.52096230270186e-05,5,9.136000791786735e-05,6,0,0,0,0.9596093763999051,10,0.0
262,7.616769842161487e-05,4,9.897334191102296e-05,1,0,0,0,1.2990210005202516,4,0.0
263,0.00013329347223782603,14,0.000413023369128692,19,0,0,0,3.0970283792608533,29,0.0
264,6.855092857945339e-05,2,4.948667095551148e-05,2,0,0,0,0.7223015330101789,3,0.0
265,7.42635059610745e-05,3,7.423000643326722e-05,2,0,0,0,0.9995495165622662,3,0.0
266,7.616769842161487e-05,4,5.139000445380039e-05,1,0,0,0,0.6751220440553862,4,0.0
267,8.188027580323598e-05,4,2.2840001979466837e-05,2,0,0,0,0.2798234301446609,6,0.0
268,0.0001428144345405279,7,0.00013133001138193433,8,0,0,0,0.9196412651002248,13,0.0
269,0.0004436768433059066,63,0.000529126712524315,78,15,7,9,1.1925514377493232,131,0.06870229007633588
270,0.0002761079067783539,34,0.00014275001237166774,25,0,0,0,0.5171829222336467,52,0.0
